nodes	w	graph	threads_per_node	exit_code	time_s	expansions	cost
1	1	n1e9_sparse	1	124	NA	NA	NA
1	1	n1e9_sparse	2	124	NA	NA	NA
1	1	n1e9_sparse	32	124	NA	NA	NA
1	1	n1e9_sparse	128	124	NA	NA	NA
1	3	n1e9_sparse	1	0	0.019625	69998	69998
1	3	n1e9_sparse	2	0	0.019765	69998	69998
1	3	n1e9_sparse	32	0	0.019234	69998	69998
1	3	n1e9_sparse	128	0	0.063217	69998	69998
1	5	n1e9_sparse	1	0	0.019535	69998	69998
1	5	n1e9_sparse	2	0	0.019408	69998	69998
1	5	n1e9_sparse	32	0	0.019362	69998	69998
1	5	n1e9_sparse	128	0	0.019380	69998	69998
2	1	n1e9_sparse	1	124	NA	NA	NA
2	1	n1e9_sparse	2	124	NA	NA	NA
2	1	n1e9_sparse	32	124	NA	NA	NA
2	1	n1e9_sparse	128	124	NA	NA	NA
2	3	n1e9_sparse	1	0	0.040450	80143	69998
2	3	n1e9_sparse	2	0	0.039234	80143	69998
2	3	n1e9_sparse	32	0	0.043909	80143	69998
2	3	n1e9_sparse	128	0	0.051452	80143	69998
2	5	n1e9_sparse	1	0	0.040309	80143	69998
2	5	n1e9_sparse	2	0	0.039941	80143	69998
2	5	n1e9_sparse	32	0	0.043962	80143	69998
2	5	n1e9_sparse	128	0	0.051599	80143	69998
4	1	n1e9_sparse	1	124	NA	NA	NA
4	1	n1e9_sparse	2	124	NA	NA	NA
4	1	n1e9_sparse	32	124	NA	NA	NA
4	1	n1e9_sparse	128	124	NA	NA	NA
4	3	n1e9_sparse	1	0	0.043928	100999	69998
4	3	n1e9_sparse	2	0	0.049074	100999	69998
4	3	n1e9_sparse	32	0	0.058511	100999	69998
4	3	n1e9_sparse	128	0	0.072138	100999	69998
4	5	n1e9_sparse	1	0	0.049119	100999	69998
4	5	n1e9_sparse	2	0	0.046706	100999	69998
4	5	n1e9_sparse	32	0	0.056950	100999	69998
4	5	n1e9_sparse	128	0	0.075749	100999	69998
1	1	n1e9_dense	1	0	14.346123	49937477	58282.8570338
1	1	n1e9_dense	2	0	14.500044	49937477	58282.8570338
1	1	n1e9_dense	32	0	14.492521	49937477	58282.8570338
1	1	n1e9_dense	128	0	14.425625	49937477	58282.8570338
1	3	n1e9_dense	1	0	0.025473	49999	58282.8570339
1	3	n1e9_dense	2	0	0.025629	49999	58282.8570339
1	3	n1e9_dense	32	0	0.025032	49999	58282.8570339
1	3	n1e9_dense	128	0	0.030433	49999	58282.8570339
1	5	n1e9_dense	1	0	0.028274	49999	58282.8570339
1	5	n1e9_dense	2	0	0.023658	49999	58282.8570339
1	5	n1e9_dense	32	0	0.025366	49999	58282.8570339
1	5	n1e9_dense	128	0	0.028117	49999	58282.8570339
2	1	n1e9_dense	1	143	NA	NA	NA
2	1	n1e9_dense	2	143	NA	NA	NA
2	1	n1e9_dense	32	143	NA	NA	NA
2	1	n1e9_dense	128	143	NA	NA	NA
2	3	n1e9_dense	1	0	0.055749	89935	58282.8570339
2	3	n1e9_dense	2	0	0.064722	89935	58282.8570339
2	3	n1e9_dense	32	0	0.151532	89935	58282.8570339
2	3	n1e9_dense	128	0	0.268580	89935	58282.8570339
2	5	n1e9_dense	1	0	0.049608	89935	58282.8570339
2	5	n1e9_dense	2	0	0.075921	89935	58282.8570339
2	5	n1e9_dense	32	0	0.163147	89935	58282.8570339
2	5	n1e9_dense	128	0	0.268042	89935	58282.8570339
4	1	n1e9_dense	1	143	NA	NA	NA
4	1	n1e9_dense	2	143	NA	NA	NA
4	1	n1e9_dense	32	143	NA	NA	NA
4	1	n1e9_dense	128	143	NA	NA	NA
4	3	n1e9_dense	1	0	0.065278	169423	58282.8570339
4	3	n1e9_dense	2	0	0.086518	169423	58282.8570339
4	3	n1e9_dense	32	0	0.203298	169423	58282.8570339
4	3	n1e9_dense	128	0	0.346113	169423	58282.8570339
4	5	n1e9_dense	1	0	0.063632	169423	58282.8570339
4	5	n1e9_dense	2	0	0.084173	169423	58282.8570339
4	5	n1e9_dense	32	0	0.193524	169423	58282.8570339
4	5	n1e9_dense	128	0	0.338445	169423	58282.8570339
1	1	n1e10_sparse	1	124	NA	NA	NA
1	1	n1e10_sparse	2	124	NA	NA	NA
1	1	n1e10_sparse	32	124	NA	NA	NA
1	1	n1e10_sparse	128	124	NA	NA	NA
1	3	n1e10_sparse	1	0	0.055254	199998	199998
1	3	n1e10_sparse	2	0	0.053948	199998	199998
1	3	n1e10_sparse	32	0	0.053979	199998	199998
1	3	n1e10_sparse	128	0	0.053774	199998	199998
1	5	n1e10_sparse	1	0	0.055441	199998	199998
1	5	n1e10_sparse	2	0	0.054154	199998	199998
1	5	n1e10_sparse	32	0	0.053469	199998	199998
1	5	n1e10_sparse	128	0	0.054091	199998	199998
2	1	n1e10_sparse	1	124	NA	NA	NA
2	1	n1e10_sparse	2	124	NA	NA	NA
2	1	n1e10_sparse	32	124	NA	NA	NA
2	1	n1e10_sparse	128	124	NA	NA	NA
2	3	n1e10_sparse	1	0	0.109927	250063	199998
2	3	n1e10_sparse	2	0	0.115690	250063	199998
2	3	n1e10_sparse	32	0	0.121263	250063	199998
2	3	n1e10_sparse	128	0	0.136499	250063	199998
2	5	n1e10_sparse	1	0	0.115759	250063	199998
2	5	n1e10_sparse	2	0	0.115976	250063	199998
2	5	n1e10_sparse	32	0	0.121895	250063	199998
2	5	n1e10_sparse	128	0	0.133177	250063	199998
4	1	n1e10_sparse	1	124	NA	NA	NA
4	1	n1e10_sparse	2	124	NA	NA	NA
4	1	n1e10_sparse	32	124	NA	NA	NA
4	1	n1e10_sparse	128	124	NA	NA	NA
4	3	n1e10_sparse	1	0	0.128671	350759	199998
4	3	n1e10_sparse	2	0	0.145799	350759	199998
4	3	n1e10_sparse	32	0	0.149942	350759	199998
4	3	n1e10_sparse	128	0	0.171648	350759	199998
4	5	n1e10_sparse	1	0	0.128972	350759	199998
4	5	n1e10_sparse	2	0	0.138464	350759	199998
4	5	n1e10_sparse	32	0	0.151035	350759	199998
4	5	n1e10_sparse	128	0	0.171506	350759	199998
1	1	n1e10_dense	1	0	0.055446	99999	141419.942024
1	1	n1e10_dense	2	0	0.051972	99999	141419.942024
1	1	n1e10_dense	32	0	0.054655	99999	141419.942024
1	1	n1e10_dense	128	0	0.052287	99999	141419.942024
1	3	n1e10_dense	1	0	0.055366	99999	141419.942024
1	3	n1e10_dense	2	0	0.056277	99999	141419.942024
1	3	n1e10_dense	32	0	0.056021	99999	141419.942024
1	3	n1e10_dense	128	0	0.063892	99999	141419.942024
1	5	n1e10_dense	1	0	0.058039	99999	141419.942024
1	5	n1e10_dense	2	0	0.057241	99999	141419.942024
1	5	n1e10_dense	32	0	0.056372	99999	141419.942024
1	5	n1e10_dense	128	0	0.063568	99999	141419.942024
2	1	n1e10_dense	1	0	0.085039	150095	141419.942024
2	1	n1e10_dense	2	0	0.088425	150095	141419.942024
2	1	n1e10_dense	32	0	0.090595	150095	141419.942024
2	1	n1e10_dense	128	0	0.096919	150095	141419.942024
2	3	n1e10_dense	1	0	0.108128	150095	141448.059773
2	3	n1e10_dense	2	0	0.130282	150095	141448.059773
2	3	n1e10_dense	32	0	0.243940	150095	141448.059773
2	3	n1e10_dense	128	0	0.378061	150095	141448.059773
2	5	n1e10_dense	1	0	0.108050	150095	141448.059773
2	5	n1e10_dense	2	0	0.133895	150095	141448.059773
2	5	n1e10_dense	32	0	0.242648	150095	141448.059773
2	5	n1e10_dense	128	0	0.383144	150095	141448.059773
4	1	n1e10_dense	1	0	0.100155	250791	141419.942024
4	1	n1e10_dense	2	0	0.105152	250791	141419.942024
4	1	n1e10_dense	32	0	0.113041	250791	141419.942024
4	1	n1e10_dense	128	0	0.133675	250791	141419.942024
4	3	n1e10_dense	1	0	0.130516	250791	141574.589643
4	3	n1e10_dense	2	0	0.164539	250791	141574.589643
4	3	n1e10_dense	32	0	0.343001	250791	141574.589643
4	3	n1e10_dense	128	0	0.565181	250791	141574.589643
4	5	n1e10_dense	1	0	0.132427	250791	141574.589643
4	5	n1e10_dense	2	0	0.173422	250791	141574.589643
4	5	n1e10_dense	32	0	0.349495	250791	141574.589643
4	5	n1e10_dense	128	0	0.561627	250791	141574.589643
